year,month,lat,lon,c_maize,c_beans,c_oil,c_salt,c_food_price_index,inflation_maize,inflation_beans,trust_maize,trust_beans,data_coverage,data_coverage_recent,index_confidence_score,mkt_name_Gulu,mkt_name_Hoima,mkt_name_Jinja,mkt_name_Lira,mkt_name_Market Average,mkt_name_Mbarara,log_c_maize,log_c_beans
-1.6443000043271032,-1.5799251700720662,-0.5630206378485483,1.454330517555298,488.84,1028.23,-1.5157029313449768,-1.5011191110102071,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.194078807169699,6.936566228836248
-1.6443000043271032,-1.2890809109948371,-0.5630206378485483,1.454330517555298,438.31,1036.79,-1.567393202848656,-1.6544473145115246,-1.7667704280643273,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.0852053142100155,6.944848731119245
-1.6443000043271032,-0.9982366519176081,-0.5630206378485483,1.454330517555298,472.15,1084.99,-1.5996386746960018,-1.6211935251076588,-1.729104375499934,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.159412462954242,6.990247292348355
-1.6443000043271032,-0.7073923928403791,-0.5630206378485483,1.454330517555298,480.59,1143.03,-1.5605280378747048,-1.4941128094691407,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.177093129659433,7.04231239537213
-1.6443000043271032,-0.4165481337631501,-0.5630206378485483,1.454330517555298,484.22,1175.52,-1.5590782918622133,-1.5850378720058131,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.1846023963357855,7.070316207597936
-1.6443000043271032,-0.12570387468592106,-0.5630206378485483,1.454330517555298,471.86,1071.41,-1.5253765728991806,-1.398612736597817,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.158799361593613,6.977663731197104
-1.6443000043271032,0.16514038439130796,-0.5630206378485483,1.454330517555298,472.33,1033.48,-1.5591953117197237,-1.514504284103587,-1.729104375499934,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.159792819648879,6.941654163987597
-1.6443000043271032,0.455984643468537,-0.5630206378485483,1.454330517555298,475.26,1100.83,-1.5255521026854464,-1.4586630151046418,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.165963923595797,7.004727712840018
-1.6443000043271032,0.7468289025457661,-0.5630206378485483,1.454330517555298,483.45,1142.36,-1.4888338718399203,-1.4811197801187306,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.1830142268310135,7.041726574835045
-1.6443000043271032,1.037673161622995,-0.5630206378485483,1.454330517555298,474.97,1134.4,-1.5635120442412231,-1.567705118566534,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.165354827035164,7.034740290736626
-1.6443000043271032,1.3285174207002242,-0.5630206378485483,1.454330517555298,492.87,1034.26,-1.50200510691305,-1.4532514314516543,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.202272324661071,6.94240788188156
-1.6443000043271032,1.619361679777453,-0.5630206378485483,1.454330517555298,492.34,1023.22,-1.5708127831292413,-1.454454005596762,-1.6914383229355408,,,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.201198591512258,6.93168662627384
-1.4682315828111336,-1.5799251700720662,-0.5630206378485483,1.454330517555298,546.38,1082.88,-1.5408166929873757,-1.5074195538139268,-1.6537722703711475,-0.000759984204953892,-0.15295347257702555,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.305143259585438,6.988302474764761
-1.4682315828111336,-1.2890809109948371,-0.5630206378485483,1.454330517555298,482.2,1082.98,-1.5061788151642588,-1.453512860613634,-1.6537722703711475,-0.047439557112300704,-0.1868764335545057,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.180430646620605,6.988394731644883
-1.4682315828111336,-0.9982366519176081,-0.5630206378485483,1.454330517555298,528.58,1134.03,-1.5226721139700485,-1.511157990830242,-1.6537722703711475,0.004014063024206571,-0.18414699991263953,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.272084239559255,7.034414361284253
-1.4682315828111336,-0.7073923928403791,-0.5630206378485483,1.454330517555298,539.85,1251.24,-1.4483515022444722,-1.4134357700820879,-1.578440165242361,0.014092607174656473,0.00886295047647181,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.293141976076298,7.132689226579967
-1.4682315828111336,-0.4165481337631501,-0.5630206378485483,1.454330517555298,541.74,1269.09,-1.4570174728034462,-1.3851229918396446,-1.578440165242361,0.0021574891017553163,-0.05001483236949954,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.296630383899581,7.146843043083483
-1.4682315828111336,-0.12570387468592106,-0.5630206378485483,1.454330517555298,526.59,1141.77,-1.4600859935115003,-1.3487581954082155,-1.6161062178067542,-0.005268806588049889,-0.10421358611512875,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.268319466910692,7.041210418699481
-1.4682315828111336,0.16514038439130796,-0.5630206378485483,1.454330517555298,542.6,1180.91,-1.4851997551538987,-1.3168899805628433,-1.6161062178067542,0.08172494292109649,0.19602411449015544,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.298213682276988,7.074887052935105
-1.4682315828111336,0.455984643468537,-0.5630206378485483,1.454330517555298,544.7,1244.96,-1.4029868041495566,-1.4162330621152746,-1.578440165242361,0.07456387207735575,0.15001366167012486,-1.2129124454254296,-1.216579655763545,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,0,6.302069374192186,7.127661596103363
